refYear,refMonth,reporterISO,reporterDesc,flowCode,flowDesc,partnerISO,partnerDesc,partner2ISO,partner2Desc,cmdCode,cmdDesc,customsDesc,motDesc,qtyUnitAbbr,qty,altQtyUnitAbbr,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,date
2021,5,ZMB,Zambia,X,Export,USA,USA,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",TOTAL CPC,TOTAL MOT,kg,0.001,g,1.0,0.8,0,0.0,359.501,359.501,2021-05-01
2021,5,ZMB,Zambia,X,Export,USA,USA,W00,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",TOTAL CPC,TOTAL MOT,kg,0.001,g,1.0,0.8,0,0.0,359.501,359.501,2021-05-01
2021,6,ZMB,Zambia,X,Export,USA,USA,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",TOTAL CPC,TOTAL MOT,kg,0.001,g,1.0,0.27,0,0.0,2384.328,2384.328,2021-06-01
2021,6,ZMB,Zambia,X,Export,USA,USA,W00,World,710812,"Metals; gold, non-monetary, unwrought (but not powder)",TOTAL CPC,TOTAL MOT,kg,0.001,g,1.0,0.27,0,0.0,2384.328,2384.328,2021-06-01
2013,1,ZMB,Zambia,X,Export,ZAF,South Africa,W00,World,710813,"Metals; gold, semi-manufactured",TOTAL CPC,TOTAL MOT,kg,301.621,g,0.0,301.621,0,0.0,12201944.39,12201944.39,2013-01-01
2013,2,ZMB,Zambia,X,Export,ZAF,South Africa,W00,World,710813,"Metals; gold, semi-manufactured",TOTAL CPC,TOTAL MOT,kg,267.303,g,0.0,267.303,0,0.0,10813645.7,10813645.7,2013-02-01
2013,3,ZMB,Zambia,X,Export,ZAF,South Africa,W00,World,710813,"Metals; gold, semi-manufactured",TOTAL CPC,TOTAL MOT,kg,269.911,g,0.0,269.911,0,0.0,10919151.16,10919151.16,2013-03-01
2013,4,ZMB,Zambia,X,Export,ZAF,South Africa,W00,World,710813,"Metals; gold, semi-manufactured",TOTAL CPC,TOTAL MOT,kg,301.339,g,0.0,301.339,0,0.0,12190540.76,12190540.76,2013-04-01
2013,5,ZMB,Zambia,X,Export,ZAF,South Africa,W00,World,710813,"Metals; gold, semi-manufactured",TOTAL CPC,TOTAL MOT,kg,332.502,g,0.0,332.502,0,0.0,13451209.91,13451209.91,2013-05-01
2013,6,ZMB,Zambia,X,Export,ZAF,South Africa,W00,World,710813,"Metals; gold, semi-manufactured",TOTAL CPC,TOTAL MOT,kg,268.036,g,0.0,268.036,0,0.0,10843267.27,10843267.27,2013-06-01
