typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20201101,2020,11,202011,894,ZMB,Zambia,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,FALSE,-1,,0,FALSE,,FALSE,0,FALSE,,104417.215,104417.215,0,FALSE,TRUE
C,M,20201101,2020,11,202011,894,ZMB,Zambia,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0,FALSE,15,g,2,FALSE,,FALSE,0,FALSE,,104417.215,104417.215,0,FALSE,TRUE
C,M,20210501,2021,5,202105,894,ZMB,Zambia,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.001,FALSE,15,g,1,FALSE,0.8,FALSE,0,FALSE,,359.501,359.501,0,FALSE,TRUE
C,M,20210501,2021,5,202105,894,ZMB,Zambia,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.001,FALSE,15,g,1,FALSE,0.8,FALSE,0,FALSE,,359.501,359.501,0,FALSE,TRUE
C,M,20210601,2021,6,202106,894,ZMB,Zambia,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.001,FALSE,15,g,1,FALSE,0.27,FALSE,0,FALSE,,2384.328,2384.328,0,FALSE,TRUE
C,M,20210601,2021,6,202106,894,ZMB,Zambia,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.001,FALSE,15,g,1,FALSE,0.27,FALSE,0,FALSE,,2384.328,2384.328,0,FALSE,TRUE
C,M,20130101,2013,1,201301,894,ZMB,Zambia,X,Export,710,ZAF,South Africa,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,301.621,TRUE,-1,,0,FALSE,301.621,TRUE,0,FALSE,,12201944.39,12201944.39,6,FALSE,TRUE
C,M,20130101,2013,1,201301,894,ZMB,Zambia,X,Export,710,ZAF,South Africa,0,W00,World,H4,HS,TRUE,710813,"Metals; gold, semi-manufactured",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,301.621,TRUE,15,g,0,FALSE,301.621,TRUE,0,FALSE,,12201944.39,12201944.39,6,FALSE,TRUE
C,M,20130201,2013,2,201302,894,ZMB,Zambia,X,Export,710,ZAF,South Africa,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,267.303,TRUE,-1,,0,FALSE,267.303,TRUE,0,FALSE,,10813645.7,10813645.7,6,FALSE,TRUE
C,M,20130201,2013,2,201302,894,ZMB,Zambia,X,Export,710,ZAF,South Africa,0,W00,World,H4,HS,TRUE,710813,"Metals; gold, semi-manufactured",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,267.303,TRUE,15,g,0,FALSE,267.303,TRUE,0,FALSE,,10813645.7,10813645.7,6,FALSE,TRUE
